id,department_code,insee_code,zip_code,name,slug,old,gps_lat,gps_lng
160,01,01180,01220,Grilly,grilly,0,46.3285,6.1179,0
161,01,01181,01100,Groissiat,groissiat,0,46.2234,5.621,0
162,01,01183,01090,Guéreins,guereins,0,46.1042,4.7842,0
163,01,01184,01250,Hautecourt-Romanèche,"hautecourt romaneche",0,46.1631,5.4274,0
164,01,01185,01110,"Plateau d’Hauteville","plateau d hauteville",0,45.9309,5.5645,0
165,01,01003,01090,Amareins,amareins,0,46.0803663,4.7835247,0
166,01,01059,01260,Brénaz,brenaz,0,45.947635,5.721818,0
167,01,01091,01200,Châtillon-en-Michaille,"chatillon en michaille",0,46.14385,5.798618,0
168,01,01154,01340,Étrez,etrez,0,46.334427,5.183755,0
169,01,01186,01110,Hostiaz,hostiaz,0,45.901372,5.535133,0
170,01,01187,01260,"Haut Valromey","haut valromey",0,46.0343,5.6773,0
171,01,01188,01140,Illiat,illiat,0,46.1866,4.893,0
172,01,01189,01200,Injoux-Génissiat,"injoux genissiat",0,46.046,5.7694,0
173,01,01190,01680,Innimond,innimond,0,45.7909,5.5706,0
174,01,01191,01430,Izenave,izenave,0,46.0402,5.5224,0
175,01,01192,01580,Izernore,izernore,0,46.2172,5.5524,0
176,01,01193,01300,Izieu,izieu,0,45.6532,5.6377,0
177,01,01194,01480,Jassans-Riottier,"jassans riottier",0,45.9787,4.7613,0
178,01,01195,01250,Jasseron,jasseron,0,46.2179,5.3153,0
179,01,01196,01340,Jayat,jayat,0,46.3694,5.113,0
180,01,01197,01250,Journans,journans,0,46.1464,5.3362,0
181,01,01198,01800,Joyeux,joyeux,0,45.9518,5.1042,0
182,01,01199,01640,Jujurieux,jujurieux,0,46.0455,5.4187,0
183,01,01200,01450,Labalme,labalme,0,46.0901,5.4888,0
184,01,01202,01150,Lagnieu,lagnieu,0,45.8965,5.3411,0
185,01,01203,01290,Laiz,laiz,0,46.2477,4.9012,0
186,01,01204,01130,"Le Poizat-Lalleyriat","le poizat lalleyriat",0,46.1394,5.6967,0
187,01,01205,01200,Lancrans,lancrans,0,46.124449,5.833783,0
188,01,01206,01430,Lantenay,lantenay,0,46.056,5.5412,0
189,01,01207,01330,Lapeyrouse,lapeyrouse,0,45.9867,4.978,0
190,01,01208,01350,Lavours,lavours,0,45.8138,5.7751,0
191,01,01209,01200,Léaz,leaz,0,46.1114,5.8746,0
192,01,01210,01410,Lélex,lelex,0,46.2906,5.9225,0
193,01,01211,01240,Lent,lent,0,46.1171,5.2019,0
194,01,01212,01560,Lescheroux,lescheroux,0,46.4114,5.1507,0
195,01,01213,01150,Leyment,leyment,0,45.929,5.2994,0
196,01,01214,01450,Leyssard,leyssard,0,46.1612,5.4741,0
197,01,01215,01420,Surjoux-Lhopital,"surjoux lhopital",0,46.0286,5.7786,0
198,01,01216,01680,Lhuis,lhuis,0,45.7531,5.5391,0
199,01,01218,01260,Lochieu,lochieu,0,45.929905,5.72835,0
200,01,01219,01680,Lompnas,lompnas,0,45.8125,5.5236,0
201,01,01221,01260,Lompnieu,lompnieu,0,45.961424,5.659491,0
202,01,01224,01360,Loyettes,loyettes,0,45.7996,5.2081,0
203,01,01225,01090,Lurcy,lurcy,0,46.0642,4.779,0
204,01,01227,01300,Magnieu,magnieu,0,45.7811,5.7217,0
205,01,01228,01430,Maillat,maillat,0,46.1177,5.5307,0
206,01,01229,01340,Malafretaz,malafretaz,0,46.3283,5.1425,0
207,01,01230,01560,Mantenay-Montlin,"mantenay montlin",0,46.4303,5.104,0
208,01,01231,01570,Manziat,manziat,0,46.3612,4.903,0
209,01,01232,01851,Marboz,marboz,0,46.3479,5.2443,0
210,01,01233,01680,Marchamp,marchamp,0,45.7757,5.5474,0
211,01,01234,01300,Marignieu,marignieu,0,45.802,5.7168,0
212,01,01235,01240,Marlieux,marlieux,0,46.0532,5.0727,0
213,01,01236,01340,Marsonnas,marsonnas,0,46.3407,5.0663,0
214,01,01237,01100,Martignat,martignat,0,46.2093,5.615,0
215,01,01238,01600,Massieux,massieux,0,45.9097,4.8309,0
216,01,01239,01300,Massignieu-de-Rives,"massignieu de rives",0,45.7545,5.755,0
217,01,01240,01580,Matafelon-Granges,"matafelon granges",0,46.247,5.5301,0
218,01,01241,01370,Meillonnas,meillonnas,0,46.2471,5.3319,0
219,01,01242,01450,Mérignat,merignat,0,46.0649,5.441,0
220,01,01243,01480,Messimy-sur-Saône,"messimy sur saone",0,46.0469,4.7632,0
221,01,01244,01800,Meximieux,meximieux,0,45.9111,5.1959,0
222,01,01245,01250,Bohas-Meyriat-Rignat,"bohas meyriat rignat",0,46.1417,5.3766,0
223,01,01246,01660,Mézériat,mezeriat,0,46.241,5.048,0
224,01,01247,01410,Mijoux,mijoux,0,46.366475,5.996778,0
225,01,01247,01170,Mijoux,mijoux,0,46.3368057,6.0574695,0
226,01,01248,01390,Mionnay,mionnay,0,45.8994,4.929,0
227,01,01249,01700,Miribel,miribel,0,45.8426,4.9376,0
228,01,01250,01600,Misérieux,miserieux,0,45.9759,4.8076,0
229,01,01252,01140,Mogneneins,mogneneins,0,46.1437,4.8247,0
230,01,01254,01250,Montagnat,montagnat,0,46.1697,5.2766,0
231,01,01255,01470,Montagnieu,montagnieu,0,45.8016,5.4626,0
232,01,01257,01200,Montanges,montanges,0,46.1681,5.7968,0
233,01,01258,01090,Montceaux,montceaux,0,46.1015,4.8028,0
234,01,01259,01310,Montcet,montcet,0,46.2203,5.1115,0
235,01,01260,01800,"Le Montellier","le montellier",0,45.9244,5.0641,0
236,01,01261,01390,Monthieux,monthieux,0,45.9625,4.9436,0
237,01,01262,01120,Montluel,montluel,0,45.8891,5.0285,0
238,01,01263,01090,Montmerle-sur-Saône,"montmerle sur saone",0,46.085,4.7603,0
239,01,01264,01310,Montracol,montracol,0,46.1851,5.1203,0
240,01,01265,01460,Montréal-la-Cluse,"montreal la cluse",0,46.1756,5.5899,0
241,01,01266,01340,Montrevel-en-Bresse,"montrevel en bresse",0,46.3269,5.1106,0
242,01,01267,01460,Nurieux-Volognat,"nurieux volognat",0,46.1877,5.524,0
243,01,01268,01300,Murs-et-Gélignieux,"murs et gelignieux",0,45.6421,5.6531,0
244,01,01269,01130,Nantua,nantua,0,46.153405,5.607762,0
245,01,01269,01460,Nantua,nantua,0,46.1801574,5.5472134,0
246,01,01272,01400,Neuville-les-Dames,"neuville les dames",0,46.1599,5.0055,0
247,01,01273,01160,Neuville-sur-Ain,"neuville sur ain",0,46.094,5.3721,0
248,01,01274,01130,"Les Neyrolles","les neyrolles",0,46.133,5.6362,0
249,01,01275,01700,Neyron,neyron,0,45.822,4.929,0
250,01,01276,01120,Niévroz,nievroz,0,45.8236,5.055,0
251,01,01277,01230,Nivollet-Montgriffon,"nivollet montgriffon",0,46.0017,5.46,0
252,01,01279,01230,Oncieu,oncieu,0,45.9654,5.4736,0
253,01,01280,01510,Ordonnaz,ordonnaz,0,45.8311,5.5395,0
254,01,01281,01210,Ornex,ornex,0,46.2765,6.094,0
255,01,01282,01430,Outriaz,outriaz,0,46.0667,5.5546,0
256,01,01283,01100,Oyonnax,oyonnax,0,46.27,5.6361,0
257,01,01284,01190,Ozan,ozan,0,46.388,4.9168,0
258,01,01285,01600,Parcieux,parcieux,0,45.9196,4.8311,0
259,01,01286,01300,"Parves et Nattages","parves et nattages",0,45.7352,5.7414,0
260,01,01288,01630,Péron,peron,0,46.187,5.9327,0
261,01,01289,01960,Péronnas,peronnas,0,46.1693,5.215,0
262,01,01290,01800,Pérouges,perouges,0,45.8884,5.1772,0
263,01,01291,01540,Perrex,perrex,0,46.2492,4.9691,0
264,01,01293,01430,Peyriat,peyriat,0,46.1478,5.5098,0
265,01,01294,01300,Peyrieu,peyrieu,0,45.6804,5.678,0
266,01,01295,01140,Peyzieux-sur-Saône,"peyzieux sur saone",0,46.1244,4.8223,0
